Claim,Original label,Gold_Verdict,Pred_Verdict
Ferromagnetic materials can retain magnetization after an external magnetic field is removed.,TRUE,TRUE,TRUE
A solenoid carrying current produces a nearly uniform magnetic field inside its coils.,TRUE,TRUE,TRUE
"In an ideal gas, pressure times volume is proportional to temperature.",TRUE,TRUE,TRUE
The Stefan–Boltzmann law states that total radiant emittance of a blackbody is proportional to T⁴.,TRUE,TRUE,TRUE
A geostationary satellite orbits Earth once per sidereal day at ≈ 35 786 km altitude above the equator.,TRUE,TRUE,TRUE
The speed of sound in dry air at 20 °C is about 343 m/s.,TRUE,TRUE,TRUE
"Beta decay involves conversion of a neutron into a proton, electron, and antineutrino.",TRUE,TRUE,TRUE
Gamma rays are electromagnetic radiation of the highest frequency.,TRUE,TRUE,TRUE
The SI base units are defined in terms of physical constants.,TRUE,TRUE,TRUE
The principle of equivalence is a cornerstone of general relativity.,TRUE,TRUE,TRUE
"In anisotropic materials, physical properties vary with direction.",TRUE,TRUE,TRUE
The Bragg condition describes constructive interference of X-rays scattered by crystal planes.,TRUE,TRUE,TRUE
The Fermi level represents the chemical potential for electrons in a solid at absolute zero.,TRUE,TRUE,TRUE
The Zeeman effect is the splitting of spectral lines in a magnetic field.,TRUE,TRUE,TRUE
Ultracold atoms can form a Bose–Einstein condensate.,TRUE,TRUE,TRUE
The wavefunction of a particle contains information about its probability distribution.,TRUE,TRUE,TRUE
The Heisenberg uncertainty principle states that position and momentum cannot both be known with arbitrary precision.,TRUE,TRUE,TRUE
A capacitor stores energy in an electric field.,TRUE,TRUE,TRUE
The maximum efficiency of a single-junction solar cell is limited by the Shockley–Queisser limit.,TRUE,TRUE,TRUE
The power radiated by an antenna increases with the square of the current.,TRUE,TRUE,TRUE
"When light passes from air into glass, it slows down.",TRUE,TRUE,TRUE
The mechanical advantage of an ideal lever equals the ratio of the lengths of its arms.,TRUE,TRUE,TRUE
Resonance occurs when a system is driven at its natural frequency.,TRUE,TRUE,TRUE
The path of a projectile under uniform gravity neglecting air resistance is parabolic.,TRUE,TRUE,TRUE
9.109×10⁻³¹ kg,TRUE,TRUE,TRUE
A standing wave forms when two waves of the same frequency travel in opposite directions and interfere.,TRUE,TRUE,TRUE
Electrical resistance of metallic conductors increases with temperature.,TRUE,TRUE,TRUE
Quantum tunneling allows particles to penetrate energy barriers higher than their kinetic energy.,TRUE,TRUE,TRUE
The cosmic microwave background radiation is a remnant of the early universe.,TRUE,TRUE,TRUE
The inductance of a coil depends on the number of turns and the core material.,TRUE,TRUE,TRUE
The SI base unit of temperature is the kelvin.,TRUE,TRUE,TRUE
The physical constant (c) is invariant in all inertial reference frames.,TRUE,TRUE,TRUE
The Declaration of Independence of the United States was signed in 1776.,TRUE,Mostly True,Mostly True
The Western Roman Empire officially fell in 476 CE when the last emperor was deposed.,TRUE,TRUE,TRUE
Christopher Columbus first landed in the Americas in 1492.,TRUE,TRUE,TRUE
The French Revolution began in 1789.,TRUE,TRUE,TRUE
World War II ended in Europe in May 1945.,TRUE,TRUE,TRUE
The Berlin Wall fell in 1989.,TRUE,TRUE,TRUE
Johannes Gutenberg introduced the movable-type printing press to Europe in the 1450s.,TRUE,TRUE,TRUE
The Magna Carta was sealed by King John of England in 1215.,TRUE,TRUE,TRUE
The Battle of Hastings occurred in 1066.,TRUE,TRUE,TRUE
The Black Death peaked in Europe between 1347 and 1351.,TRUE,TRUE,TRUE
The Wright brothers achieved the first powered controlled flight in 1903.,TRUE,TRUE,TRUE
Neil Armstrong became the first human to walk on the Moon in 1969.,TRUE,TRUE,TRUE
The American Civil War lasted from 1861 to 1865.,TRUE,TRUE,TRUE
The Aztec Empire was conquered by Hernán Cortés in 1521.,TRUE,TRUE,TRUE
The ancient Olympic Games originated in Greece in 776 BCE.,TRUE,TRUE,TRUE
The Meiji Restoration in Japan began in 1868.,TRUE,TRUE,TRUE
The Protestant Reformation started with Martin Luther’s 95 Theses in 1517.,TRUE,TRUE,TRUE
The Treaty of Versailles was signed in 1919.,TRUE,TRUE,TRUE
The Russian Revolution occurred in 1917.,TRUE,TRUE,TRUE
The Great Wall of China was built over several dynasties beginning in the 7th century BCE.,TRUE,TRUE,TRUE
The first successful telegraph message was sent by Samuel Morse in 1844.,TRUE,TRUE,TRUE
Mahatma Gandhi led the Salt March in 1930.,TRUE,TRUE,TRUE
The Suez Canal officially opened in 1869.,TRUE,TRUE,TRUE
The Titanic sank in 1912.,TRUE,TRUE,TRUE
The League of Nations was founded in 1920.,TRUE,TRUE,TRUE
The Renaissance began in Italy in the 14th century.,TRUE,TRUE,TRUE
India gained independence from Britain in 1947.,TRUE,TRUE,TRUE
The first atomic bomb was detonated in New Mexico on July 16 1945.,TRUE,TRUE,TRUE
The fall of Constantinople occurred in 1453.,TRUE,TRUE,TRUE
The Bosnian War lasted from 1992 to 1995.,TRUE,TRUE,TRUE
The United Nations was established in 1945.,TRUE,TRUE,TRUE
The Cuban Missile Crisis occurred in 1962.,TRUE,TRUE,TRUE
The Oktoberfest tradition began in Bavaria in 1810.,TRUE,TRUE,TRUE
Nelson Mandela was released from prison in 1990.,TRUE,TRUE,TRUE
The Korean War began in 1950.,TRUE,TRUE,TRUE
The first modern Olympic Games were held in Athens in 1896.,TRUE,TRUE,TRUE
The Hubble Space Telescope was launched in 1990.,TRUE,TRUE,TRUE
The Pax Romana lasted approximately from 27 BCE to 180 CE.,TRUE,TRUE,TRUE
The Code of Hammurabi was created around 1754 BCE.,TRUE,TRUE,TRUE
The Spanish Armada was defeated in 1588.,TRUE,TRUE,TRUE
The city of Pompeii was destroyed by the eruption of Mount Vesuvius in 79 CE.,TRUE,TRUE,TRUE
The United States purchased Alaska from Russia in 1867.,TRUE,TRUE,TRUE
The Thirty Years' War lasted from 1618 to 1648.,TRUE,TRUE,TRUE
The first successful vaccine was developed by Edward Jenner in 1796.,TRUE,TRUE,TRUE
The Balfour Declaration was issued in 1917.,TRUE,TRUE,TRUE
The Battle of Waterloo occurred in 1815.,TRUE,TRUE,TRUE
The Haitian Revolution ended in 1804 with Haiti's independence.,TRUE,TRUE,TRUE
The Louisiana Purchase took place in 1803.,TRUE,TRUE,TRUE
The Emancipation Proclamation was issued in 1863.,TRUE,TRUE,TRUE
The Vietnam War ended in 1975.,TRUE,TRUE,TRUE
The Rosetta Stone was discovered in 1799.,TRUE,TRUE,TRUE
The California Gold Rush began in 1848.,TRUE,TRUE,TRUE
The Treaty of Tordesillas was signed in 1494.,TRUE,TRUE,TRUE
The Berlin Airlift took place from 1948 to 1949.,TRUE,TRUE,TRUE
The first U.S. transcontinental railroad was completed in 1869.,TRUE,TRUE,TRUE
The Potala Palace in Lhasa was completed in its present form in 1649.,TRUE,TRUE,TRUE
The Apollo–Soyuz Test Project occurred in 1975.,TRUE,TRUE,TRUE
The Great Fire of London happened in 1666.,TRUE,TRUE,TRUE
The United States Constitution was ratified in 1788.,TRUE,TRUE,TRUE
The Persian Empire under Cyrus the Great began in 550 BCE.,TRUE,TRUE,TRUE
The Battle of Gettysburg was fought in 1863.,TRUE,TRUE,TRUE
The Reign of Terror in France occurred from 1793 to 1794.,TRUE,TRUE,TRUE
The first human heart transplant was performed in 1967.,TRUE,TRUE,TRUE
The Inca city of Machu Picchu was built in the 15th century.,TRUE,TRUE,TRUE
The Gutenberg Bible was printed around 1455.,TRUE,TRUE,TRUE
The Helsinki Accords were signed in 1975.,TRUE,TRUE,TRUE
The first email was sent in 1971.,TRUE,TRUE,TRUE
The euro currency was introduced in 1999 for electronic transactions.,TRUE,TRUE,TRUE
The Channel Tunnel between England and France opened in 1994.,TRUE,TRUE,TRUE
The Middle Ages followed the fall of the Western Roman Empire.,TRUE,TRUE,TRUE
The ancient city of Babylon was located in present-day Iraq.,TRUE,TRUE,TRUE
The Silk Road facilitated trade between Asia and Europe starting around the 2nd century BCE.,TRUE,TRUE,TRUE
The first successful photograph was taken by Nicéphore Niépce in 1826.,TRUE,TRUE,TRUE
The Erie Canal opened in 1825.,TRUE,TRUE,TRUE
The Battle of Stalingrad lasted from 1942 to 1943.,TRUE,TRUE,TRUE
The Spanish flu pandemic began in 1918.,TRUE,TRUE,TRUE
Stephenson’s Locomotion No. 1 ran in 1825.,TRUE,TRUE,TRUE
The computer ENIAC was completed in 1945.,TRUE,TRUE,TRUE
"The African Union was founded in 2002, replacing the OAU.",TRUE,TRUE,TRUE
"The Qing dynasty was the last imperial dynasty of China, ending in 1912.",TRUE,TRUE,TRUE
The First Crusade was launched in 1096.,TRUE,TRUE,TRUE
Brazil declared independence from Portugal in 1822.,TRUE,TRUE,TRUE
The Warsaw Pact was formed in 1955.,TRUE,TRUE,TRUE
The Colosseum in Rome was completed around 80 CE.,TRUE,TRUE,TRUE
Alexander Fleming discovered penicillin in 1928.,TRUE,TRUE,TRUE
The Battle of Midway took place in 1942.,TRUE,TRUE,TRUE
The Yalta Conference was held in 1945.,TRUE,TRUE,TRUE
The Ashoka Pillar inscriptions date to the 3rd century BCE.,TRUE,TRUE,TRUE
The Great Depression began with the stock market crash of 1929.,TRUE,TRUE,TRUE
The Parliament of Great Britain was formed in 1707.,TRUE,TRUE,TRUE
The Battle of Agincourt occurred in 1415.,TRUE,TRUE,TRUE
Significant destruction of the Library of Alexandria had occurred by 48 BCE.,TRUE,TRUE,TRUE
Julius Caesar crossed the Rubicon in 49 BCE.,TRUE,TRUE,TRUE
The Taj Mahal was completed in 1653.,TRUE,TRUE,TRUE
The Battle of Lepanto was fought in 1571.,TRUE,TRUE,TRUE
The Mayflower landed at Plymouth in 1620.,TRUE,TRUE,TRUE
NASA’s Viking 1 lander touched down on Mars in 1976.,TRUE,TRUE,TRUE
The Marshall Plan was enacted in 1948.,TRUE,TRUE,TRUE
The Treaty of Paris ending the American Revolutionary War was signed in 1783.,TRUE,TRUE,TRUE
The Slavery Abolition Act was passed in the British Empire in 1833.,TRUE,TRUE,TRUE
The human heart has four chambers.,TRUE,TRUE,TRUE
Insulin regulates blood glucose levels.,TRUE,TRUE,TRUE
Antibiotics are ineffective against viral infections.,TRUE,TRUE,TRUE
Vitamin C deficiency causes scurvy.,TRUE,TRUE,TRUE
The liver is capable of regenerating lost tissue.,TRUE,TRUE,TRUE
Low-density lipoprotein cholesterol contributes to atherosclerosis.,TRUE,TRUE,TRUE
The average human adult has 206 bones.,TRUE,TRUE,TRUE
Hypertension increases the risk of stroke.,TRUE,TRUE,TRUE
The influenza virus can mutate rapidly.,TRUE,TRUE,TRUE
Type 1 diabetes involves autoimmune destruction of pancreatic beta cells.,TRUE,TRUE,TRUE
The human body maintains a core temperature of about 37 °C.,TRUE,TRUE,TRUE
Vaccines stimulate the immune system to produce antibodies.,TRUE,TRUE,TRUE
HIV targets CD4-positive T cells.,TRUE,TRUE,TRUE
The appendix is attached to the cecum of the colon.,TRUE,TRUE,TRUE
A normal adult respiratory rate at rest is about 12–20 breaths per minute.,TRUE,TRUE,TRUE
Osteoporosis is more common in postmenopausal women.,TRUE,TRUE,TRUE
The blood-brain barrier limits passage of many substances from blood to brain tissue.,TRUE,TRUE,TRUE
The kidneys filte,TRUE,TRUE,TRUE
The cornea is the transparent front part of the eye.,TRUE,TRUE,TRUE
The pancreas secretes digestive enzymes.,TRUE,TRUE,TRUE
Smoking cigarettes increases the risk of lung cancer.,TRUE,TRUE,TRUE
The meninges protect the brain and spinal cord.,TRUE,TRUE,TRUE
Platelets are essential for blood clotting.,TRUE,TRUE,TRUE
The cerebellum coordinates voluntary movement.,TRUE,TRUE,TRUE
Myelin sheaths insulate axons.,TRUE,TRUE,TRUE
Antibodies are proteins produced by B lymphocytes.,TRUE,TRUE,TRUE
Persistent high blood pressure increases the risk of cardiovascular disease.,TRUE,TRUE,TRUE
Asthma is characterized by airway inflammation and bronchoconstriction.,TRUE,TRUE,TRUE
"The human genome contains about 20,000 protein-coding genes.",TRUE,TRUE,TRUE
Iron deficiency leads to microcytic anemia.,TRUE,TRUE,TRUE
The pituitary gland is often called the master gland.,TRUE,TRUE,TRUE
Measles is highly contagious but preventable by vaccination.,TRUE,TRUE,TRUE
Chronic alcohol consumption can lead to cirrhosis of the liver.,TRUE,TRUE,TRUE
The retina contains photoreceptor cells called rods and cones.,TRUE,TRUE,TRUE
The primary function of the small intestine is nutrient absorption.,TRUE,TRUE,TRUE
Hepatitis B is caused by a DNA virus.,TRUE,TRUE,TRUE
Tuberculosis is caused by Mycobacterium tuberculosis.,TRUE,TRUE,TRUE
Malaria is transmitted by Anopheles mosquitoes.,TRUE,TRUE,TRUE
The alveoli are the sites of gas exchange in the lungs.,TRUE,TRUE,TRUE
Antiretroviral therapy can suppress HIV replication.,TRUE,TRUE,TRUE
"The middle ear contains three ossicles: malleus, incus, and stapes.",TRUE,TRUE,TRUE
An electrocardiogram records the electrical activity of the heart.,TRUE,TRUE,TRUE
Peripheral neuropathy can result from uncontrolled diabetes.,TRUE,TRUE,TRUE
Adenosine triphosphate (ATP) is the primary energy currency of the cell.,TRUE,TRUE,TRUE
Coronary arteries supply blood to the heart muscle.,TRUE,TRUE,TRUE
The cerebrum is divided into two hemispheres.,TRUE,TRUE,TRUE
Cholera is caused by Vibrio cholerae.,TRUE,TRUE,TRUE
The thyroid gland produces thyroxine and triiodothyronine.,TRUE,TRUE,TRUE
The normal pH of arterial blood is around 7.4.,TRUE,TRUE,TRUE
Anaphylaxis is a severe systemic allergic reaction.,TRUE,TRUE,TRUE
Neurons communicate via synapses.,TRUE,TRUE,TRUE
The incubation period for chickenpox is typically 10 to 21 days.,TRUE,TRUE,TRUE
The human stomach secretes hydrochloric acid.,TRUE,TRUE,TRUE
The incubation period for COVID-19 is generally 2 to 14 days.,TRUE,TRUE,TRUE
The universal donor blood type for red cells is O negative.,TRUE,TRUE,TRUE
Sleep apnea involves intermittent cessation of breathing during sleep.,TRUE,TRUE,TRUE
The median human gestation period is about 40 weeks.,TRUE,TRUE,TRUE
The HPV vaccine protects against cervical cancer.,TRUE,TRUE,TRUE
Regular physical exercise strengthens the cardiovascular system.,TRUE,TRUE,TRUE
Cataracts cause clouding of the eye’s lens.,TRUE,TRUE,TRUE
Probiotics are beneficial bacteria that can aid digestion.,TRUE,TRUE,TRUE
Rheumatoid arthritis is an autoimmune disease.,TRUE,TRUE,TRUE
The medulla oblongata regulates breathing and heart rate.,TRUE,TRUE,TRUE
"Influenza pandemics occurred in 1918, 1957, 1968, and 2009.",TRUE,TRUE,TRUE
Antibiotic resistance arises from misuse and overuse of antibiotics.,TRUE,TRUE,TRUE
Vitamin D is synthesized in the skin upon exposure to ultraviolet light.,TRUE,TRUE,TRUE
Hyperthyroidism results from excessive thyroid hormone production.,TRUE,TRUE,TRUE
Glaucoma is associated with increased intraocular pressure.,TRUE,TRUE,TRUE
The spinal cord ends around the L1–L2 vertebral level.,TRUE,TRUE,TRUE
Beta blockers reduce heart rate and blood pressure.,TRUE,TRUE,TRUE
The primary vector for Lyme disease is the deer tick.,TRUE,TRUE,TRUE
"Hemostasis involves vasoconstriction, platelet plug formation, and coagulation.",TRUE,TRUE,TRUE
The incubation period for rabies can be several weeks to months.,TRUE,TRUE,TRUE
Dopamine is a neurotransmitter involved in reward pathways.,TRUE,TRUE,TRUE
A body mass index over 30 is classified as obese.,TRUE,TRUE,TRUE
Alveolar type II cells produce surfactant.,TRUE,TRUE,TRUE
Epstein–Barr virus can cause infectious mononucleosis.,TRUE,TRUE,TRUE
The sinoatrial node is the natural pacemaker of the heart.,TRUE,TRUE,TRUE
The longest nerve in the human body is the sciatic nerve.,TRUE,TRUE,TRUE
Sickle cell disease results from a mutation in the beta-globin gene.,TRUE,TRUE,TRUE
Celiac disease is triggered by gluten ingestion.,TRUE,TRUE,TRUE
"Antigen-presenting cells include dendritic cells, macrophages, and B cells.",TRUE,TRUE,TRUE
The liver stores glycogen.,TRUE,TRUE,TRUE
The femur is the longest bone in the human body.,TRUE,TRUE,TRUE
The suprachiasmatic nucleus regulates circadian rhythms.,TRUE,TRUE,TRUE
Prolonged exposure to ultraviolet radiation increases skin cancer risk.,TRUE,TRUE,TRUE
The cochlea converts sound vibrations into neural signals.,TRUE,TRUE,TRUE
Parkinson’s disease involves degeneration of dopaminergic neurons in the substantia nigra.,TRUE,TRUE,TRUE
The average adult resting heart rate ranges from 60 to 100 beats per minute.,TRUE,TRUE,TRUE
"The appendix can become inflamed, resulting in appendicitis.",TRUE,TRUE,TRUE
Oral rehydration therapy treats dehydration from diarrhea.,TRUE,TRUE,TRUE
The adrenal glands produce cortisol.,TRUE,TRUE,TRUE
Deep vein thrombosis can lead to pulmonary embolism.,TRUE,TRUE,TRUE
The lymphatic system returns interstitial fluid to the bloodstream.,TRUE,TRUE,TRUE
Langerhans cells are specialized dendritic cells in the skin.,TRUE,TRUE,TRUE
The basal metabolic rate decreases with age.,TRUE,TRUE,TRUE
Most vitamin K used by the body is produced by gut microbiota.,TRUE,TRUE,TRUE
The P wave on an electrocardiogram represents atrial depolarization.,TRUE,TRUE,TRUE
Gastric ulcers are commonly associated with Helicobacter pylori infection.,TRUE,TRUE,TRUE
Classical conditioning was systematically studied by Ivan Pavlov.,TRUE,TRUE,TRUE
Short-term memory has a typical capacity of about 7 ± 2 items.,TRUE,TRUE,TRUE
The placebo effect occurs when an inert treatment produces real improvement.,TRUE,TRUE,TRUE
Maslow’s hierarchy of needs places self-actualization at the top.,TRUE,TRUE,TRUE
The bystander effect suggests people are less likely to help when others are present.,TRUE,TRUE,TRUE
Cognitive dissonance describes discomfort from holding conflicting beliefs.,TRUE,TRUE,TRUE
The Stanford prison experiment demonstrated the power of situational roles.,TRUE,TRUE,TRUE
Operant conditioning involves learning through consequences.,TRUE,TRUE,TRUE
The Big Five personality traits include openness and conscientiousness.,TRUE,TRUE,TRUE
Mirror neurons fire both when an action is performed and when it is observed.,TRUE,TRUE,TRUE
Working memory is closely associated with the prefrontal cortex.,TRUE,TRUE,TRUE
The limbic system plays a key role in emotion processing.,TRUE,TRUE,TRUE
Harry Harlow’s monkey experiments showed the importance of contact comfort.,TRUE,TRUE,TRUE
REM sleep is often associated with vivid dreaming.,TRUE,TRUE,TRUE
The fight-or-flight response is mediated by the sympathetic nervous system.,TRUE,TRUE,TRUE
Learned helplessness was identified by Martin Seligman.,TRUE,TRUE,TRUE
The Stroop effect shows interference in reaction time when naming ink colors.,TRUE,TRUE,TRUE
Attachment theory was developed by John Bowlby.,TRUE,TRUE,TRUE
The amygdala is central to the processing of fear.,TRUE,TRUE,TRUE
Confirmation bias is the tendency to seek information that confirms one's beliefs.,TRUE,TRUE,TRUE
The primacy effect describes better recall for items at the beginning of a list.,TRUE,TRUE,TRUE
The Minnesota Multiphasic Personality Inventory is widely used in personality assessment.,TRUE,TRUE,TRUE
Exposure therapy is effective for treating specific phobias.,TRUE,TRUE,TRUE
The Flynn effect refers to rising average IQ scores over decades.,TRUE,TRUE,TRUE
Albert Bandura formulated social learning theory.,TRUE,TRUE,TRUE
Observational learning occurs when people learn by watching others.,TRUE,TRUE,TRUE
Post-traumatic stress disorder can develop after exposure to traumatic events.,TRUE,TRUE,TRUE
The hippocampus is crucial for forming new episodic memories.,TRUE,TRUE,TRUE
Token economies are based on principles of operant conditioning.,TRUE,TRUE,TRUE
Selective serotonin reuptake inhibitors are commonly prescribed for depression.,TRUE,TRUE,TRUE
Nonverbal cues such as facial expressions convey important information.,TRUE,TRUE,TRUE
The Wechsler Adult Intelligence Scale measures adult intelligence.,TRUE,TRUE,TRUE
Intrinsic motivation arises from internal satisfaction rather than external rewards.,TRUE,TRUE,TRUE
Chunking can increase the amount of information held in short-term memory.,TRUE,TRUE,TRUE
The serial-position effect involves better recall of items at the beginning and end of a list.,TRUE,TRUE,TRUE
The DSM-5 provides criteria for diagnosing mental disorders.,TRUE,TRUE,TRUE
Systematic desensitization is used to treat anxiety disorders.,TRUE,TRUE,TRUE
Cognitive behavioral therapy combines cognitive and behavioral techniques.,TRUE,TRUE,TRUE
The mere-exposure effect leads to increased liking with repeated exposure.,TRUE,TRUE,TRUE
Human attentional resources are limited.,TRUE,TRUE,TRUE
"Emotional intelligence involves perceiving, understanding, and managing emotions.",TRUE,TRUE,TRUE
The standard deviation of many IQ tests is 15.,TRUE,TRUE,TRUE
The Yerkes–Dodson law posits an inverted-U relationship between arousal and performance.,TRUE,TRUE,TRUE
Stereotype threat can impair performance on tests.,TRUE,TRUE,TRUE
Dopamine is involved in the brain’s reward pathways.,TRUE,TRUE,TRUE
Chronic stress can impair immune system functioning.,TRUE,TRUE,TRUE
Gestalt psychology emphasizes whole patterns in perception.,TRUE,TRUE,TRUE
Edward Tolman introduced the concept of cognitive maps.,TRUE,TRUE,TRUE
Self-efficacy refers to one’s belief in their ability to succeed.,TRUE,TRUE,TRUE
The Milgram experiment showed high levels of obedience to authority.,TRUE,TRUE,TRUE
Introspection was a primary method in early structuralism.,TRUE,TRUE,TRUE
The corpus callosum connects the two cerebral hemispheres.,TRUE,TRUE,TRUE
Prosocial behavior benefits others without direct personal gain.,TRUE,TRUE,TRUE
The concept of flow describes a state of complete absorption in an activity.,TRUE,TRUE,TRUE
Episodic memory stores autobiographical events.,TRUE,TRUE,TRUE
Learned behavior can be extinguished if reinforcement ceases.,TRUE,TRUE,TRUE
The James–Lange theory proposes that emotions follow physiological changes.,TRUE,TRUE,TRUE
The availability heuristic affects judgments based on ease of recall.,TRUE,TRUE,TRUE
Narcissistic personality disorder is characterized by grandiosity and need for admiration.,TRUE,TRUE,TRUE
Implicit memory can influence behavior without conscious awareness.,TRUE,TRUE,TRUE
A fixed-ratio reinforcement schedule provides reinforcement after a set number of responses.,TRUE,TRUE,TRUE
Sleep deprivation impairs cognitive performance.,TRUE,TRUE,TRUE
Elisabeth Kübler-Ross described five stages of grief.,TRUE,TRUE,TRUE
Proprioception is the sense of body position and movement.,TRUE,TRUE,TRUE
The halo effect is the tendency to let overall impressions influence trait ratings.,TRUE,TRUE,TRUE
Groupthink can lead to poor decision-making in cohesive groups.,TRUE,TRUE,TRUE
The orbitofrontal cortex contributes to evaluating rewards and punishments.,TRUE,TRUE,TRUE
Trait anxiety is a stable tendency to perceive situations as threatening.,TRUE,TRUE,TRUE
