Claim,Original_Verdict,Gold_Verdict,Pred_Verdict
“We have a director of homeland security who cannot use and will not use the term ‘terrorist attack’ but instead substitutes ‘man-made disaster.’”,TRUE,Half True,Half True
“African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.”,TRUE,Half True,Half True
"“Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.”",TRUE,FALSE,FALSE
“President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.”,TRUE,FALSE,FALSE
“It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khan’s) life.”,TRUE,FALSE,FALSE
“Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.”,TRUE,TRUE,TRUE
“Says the paperback edition of Mitt Romney’s book deleted a line that Massachusetts individual mandate should be the model for the country.”,TRUE,Mostly True,Half True
"“Maggie Hassan raised tuition, making it the highest in America.”",TRUE,FALSE,FALSE
“Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.”,TRUE,FALSE,FALSE
"“We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history.”",TRUE,Half True,Half True
"“We have towns in West Texas that are out of water, that are having to truck in water.”",TRUE,Mostly True,Mostly True
"“In Georgia, women earn 82 cents for every dollar earned by men.”",TRUE,Mostly True,Mostly True
“A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.”,TRUE,FALSE,FALSE
"“They were going to build the wall a while ago, not so long ago, like in ’06. And they couldn’t get environmental impact statements.”",TRUE,Pants on Fire,FALSE
“Sen. Obama’s campaign announced that he’s choosing his cabinet.”,TRUE,Pants on Fire,TRUE
"“In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.”",TRUE,Half True,Half True
“Only 2 percent of public high schools in the country offer PE classes.”,TRUE,TRUE,FALSE
“Said he’s the only Republican candidate ‘who’s actually turned around a government economy.’”,TRUE,Half True,Half True
"“On military recruiters at Harvard, Elena Kagan ‘took a position and the Supreme Court ruled unanimously that she was wrong.’”",TRUE,Mostly True,Mostly True
"“There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.”",TRUE,FALSE,FALSE
"“Under Mayor Cicilline, Providence was a sanctuary city.”",TRUE,Mostly True,Mostly True
“Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.”,TRUE,FALSE,FALSE
"“At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.”",TRUE,Half True,TRUE
“U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant.”,TRUE,Half True,Half True
“Alex Sink funneled three-quarters of a million dollars in no-bid contracts to Bank of America.”,TRUE,Half True,Half True
"“If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.”",TRUE,Half True,Half True
"“Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.”",TRUE,Half True,Half True
“The new Arizona immigration law ‘says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.’”,TRUE,Mostly True,Mostly True
“The only time in our history when the debt has been higher than this was the end of World War II.”,TRUE,FALSE,FALSE
“The cost of health care is now the single-biggest factor driving down the federal budget deficit.”,TRUE,Mostly True,Mostly True
"“During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.”",TRUE,Half True,Half True
“Says one out of three U.S. homeless men is a veteran.”,TRUE,FALSE,FALSE
“Says Charlie Crist supports cuts to the Medicare Advantage program.”,TRUE,Mostly True,Half True
“I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together — forget the United States.”,TRUE,Mostly True,Mostly True
“Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.”,TRUE,Mostly True,Mostly True
"“At some point in their lives, 99 % of women use birth control.”",TRUE,TRUE,TRUE
"“In the past 20 years, Egypt has made great strides in political and democratic reform.”",TRUE,FALSE,FALSE
“The amount of attention paid this week to Chris Christie makes the coverage of Benghazi … pale in significance.”,TRUE,TRUE,FALSE
“Says U.S. Rep. Steve Southerland voted to keep the shutdown going.”,TRUE,Mostly True,Mostly True
"“In Rick Perry’s Texas, we import nurses … from other countries.”",TRUE,TRUE,TRUE
“There is a federal criminal law that says it’s a crime to transport dentures across state lines.”,TRUE,TRUE,TRUE
“We built a new prison every 10 days between 1990 and 2005 to keep up with our mass-incarceration explosion of non-violent offenders.”,TRUE,Mostly True,Mostly True
“Sen. McCain’s tax plan provides ‘virtually nothing to the middle class.’”,TRUE,Half True,Half True
“Austin is burdened by the fastest-growing tax increases of any major city in the nation.”,TRUE,FALSE,FALSE
"“Phoenix, Arizona, is the No. 2 kidnapping capital of the world.”",TRUE,FALSE,FALSE
“I belong to the AFL-CIO.”,TRUE,Half True,Half True
“The insurance commissioner can’t do squat about health care.”,TRUE,FALSE,Half True
“Says a poll found him the only Republican candidate who could beat Barack Obama in Texas — and by eight points.”,TRUE,Half True,Half True
"“President Ronald Reagan sent troops into conflict only in one circumstance, which was in Grenada. We were in a peacekeeping setting in Lebanon.”",TRUE,Mostly True,FALSE
“Says David Jolly supports privatizing Social Security.”,TRUE,Mostly True,Half True
“Did you know U.S. population growth is at its lowest since the Great Depression?”,TRUE,Half True,Mostly True
“The average student in Florida pays as much or less for tuition than for cell phones.”,TRUE,FALSE,FALSE
"“Since 1968, more Americans have died from gunfire than in all the wars of this country’s history.”",TRUE,Half True,Half True
“A foreclosure tax taking effect in 2013 could mean high tax bills for families who modified their mortgages or had short sales.”,TRUE,Half True,Half True
The Florida Department of Agriculture’s website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.,TRUE,FALSE,FALSE
"The Atlanta Streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years.",TRUE,TRUE,Half True
Raising the minimum wage to $10.10 an hour would help lift over a million Americans out of poverty.,TRUE,Mostly True,Mostly True
"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.",TRUE,Half True,Half True
NATO is opening up a major terror division … “I’m sure I’m not going to get credit … but that was largely because of what I was saying.”,TRUE,FALSE,FALSE
Sen. Obama has always had a 100 percent pro-choice rating.,TRUE,Pants on Fire,Half True
"Since Gina Raimondo took office, investment fees on the state’s pension portfolio have gone up from about $12 million to $50 million.",TRUE,TRUE,Half True
The (federal) debt is growing by more than $4 billion a day.,TRUE,Mostly True,TRUE
"Under President Obama’s jobs bill, states would no longer have to lay off teachers, firefighters and police officers.",TRUE,Half True,Half True
"Of our 98,000 teachers who are K-12, over 53,000 are over 50 years old.",TRUE,Half True,Half True
Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to exemptions.,TRUE,FALSE,FALSE
"Under President Obama’s health-care reforms, the premium for an average plan for a family didn’t go down by $2,500 per year, it’s gone up about $2,500 per year.",TRUE,Mostly True,Mostly True
"The IRS also investigated liberal groups, groups with “progressive” in their name.",TRUE,Half True,Half True
Obama promised unemployment would never go above 8%.,TRUE,Mostly False,FALSE
Economy creating jobs at fastest pace since 1999.,TRUE,Mostly True,Mostly True
Obama declined to meet Netanyahu in NY.,TRUE,Half True,TRUE
"Majority of states allow marriage, but you can still be fired for who you love.",TRUE,Mostly True,Mostly True
DeFazio and Blumenauer are openly socialist.,TRUE,FALSE,FALSE
Giuliani is most underqualified since George Bush.,TRUE,Half True,Half True
Half of presidents were governors; half senators.,TRUE,FALSE,FALSE
Brexit caused $100 B loss from 401(k)s in 24 h.,TRUE,Mostly True,Mostly True
"Medicaid spending declined by 1.9% in 2012, the second such decline in 47 years.",TRUE,FALSE,FALSE
88 Texas constables have died in the line of duty.,TRUE,Mostly True,Mostly True
Rick Scott cut prepaid college tuition cost by nearly $20 000.,TRUE,TRUE,TRUE
Columbus would save $41 million a year if employees contributed to their pensions.,TRUE,Half True,Half True
"As Florida CFO, I shut down Krakow’s scam and refunded $1.2 million to victims.",TRUE,FALSE,Mostly True
More women got computer science degrees in the 1980s by a factor of 2+ than now.,TRUE,Pants on Fire,Mostly True
Air Force wants taxpayers to fund a fantasy football league.,TRUE,Pants On Fire,Pants on Fire
Obama will force courts to accept Islamic Sharia law in domestic disputes.,TRUE,Pants On Fire,Pants on Fire
3% of murders and crimes are committed with legally purchased guns.,TRUE,FALSE,FALSE
Some neighborhood schools are closing.,TRUE,TRUE,TRUE
He told gay organizers in Massachusetts he would be a stronger advocate for special rights than Ted Kennedy.,TRUE,Half True,Half True
"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.",TRUE,Half True,Half True
We are already almost halfway to our 2010 goal of creating 700 000 new jobs in seven years.,TRUE,Half True,Half True
Says the U.S. Supreme Court found that Social Security is not guaranteed.,TRUE,Mostly True,Mostly True
Says Michael Bennet wants to close Guantanamo Bay and bring terrorists to Colorado.,TRUE,FALSE,FALSE
Oregonians have an amazing no-cost way to fight abortion with free political donations.,TRUE,FALSE,FALSE
The president said he’s going to bring in 250 000 Syrian and Iraqi refugees.,TRUE,FALSE,FALSE
Research shows a vast majority of immigrants come believing government is source of prosperity.,TRUE,Half True,FALSE
Newt Gingrich’s immigration plan offers a new doorway to amnesty.,TRUE,Pants on Fire,Mostly True
Mr. Caprio is a career politician who has never worked in the private sector.,TRUE,Half True,Half True
In Rhode Island 9 % of workers use TDI each year while in New Jersey rate is 3 %.,TRUE,FALSE,FALSE
In 17 years Social Security + health + interest will exceed ALL tax revenue.,TRUE,Half True,Half True
President Obama took more money from Wall Street in 2008 than anybody ever had.,TRUE,FALSE,FALSE
Donald Trump has said nuclear proliferation is OK.,TRUE,FALSE,FALSE
Hillary Clinton has taken over $800 000 from lobbyists.,TRUE,Mostly True,Mostly True
Barack Obama has never even worked in business.,TRUE,TRUE,TRUE
The Arizona immigration law expressly bans racial profiling.,TRUE,FALSE,FALSE
Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.–Mexico border.,TRUE,FALSE,FALSE
On the VA: Over 300 000 veterans have died waiting for care.,TRUE,Mostly True,FALSE
We’re now spending 42 percent of our economy on government.,TRUE,FALSE,FALSE
Rob Cornilles supports privatizing Medicare.,TRUE,Half True,Half True
"In 2005, Dan Branch tried to expand third-trimester abortions in Texas.",TRUE,FALSE,FALSE
We (Democrats) have made steady progress creating jobs and improving our schools.,TRUE,Mostly True,Mostly True
Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because redemptions were so high there was no profit.,TRUE,FALSE,FALSE
"Whether you like to admit it or not, half our general revenue goes to education.",TRUE,Half True,Half True
I’m the only one who’s fought against developers draining the Everglades!,TRUE,FALSE,FALSE
Ron Johnson called Social Security a Ponzi scheme and wants to privatize it.,TRUE,Half True,Half True
"31 states & 10,000 cities have same policies as North Carolina HB2.",TRUE,FALSE,FALSE
Climate change is directly related to the growth of terrorism.,TRUE,FALSE,FALSE
Obama’s jobs bill includes a tax on soup kitchens.,TRUE,FALSE,FALSE
Obama administration funded Finnish cars & Chinese windmills.,TRUE,FALSE,FALSE
Sarah Palin tried to fire Wasilla librarian over book bans.,TRUE,TRUE,TRUE
Milwaukee would have 23 bicycle fines higher than $50 pot fine.,TRUE,TRUE,TRUE
There are more illegal immigrants now than five years ago.,TRUE,FALSE,FALSE
Rick Perry wrote a letter supporting Hillarycare.,TRUE,TRUE,TRUE
USPTO received zero complaints about the Redskins name.,TRUE,Half True,FALSE
Obamacare will raise premiums and make hundreds of millions lose coverage.,TRUE,FALSE,FALSE
Mexican immigrants are more law-abiding than U.S. citizens.,TRUE,Pants on Fire,Mostly True
Chris Christie vetoed a 30-bill jobs package.,TRUE,TRUE,TRUE
There are more U.S. solar jobs than coal mining jobs.,TRUE,TRUE,TRUE
Bill Brady’s first priority was a mass-euthanasia bill.,TRUE,FALSE,FALSE
Obama’s economy worsened since he became president.,TRUE,FALSE,FALSE
Romney failed to act against sanctuary cities in Massachusetts.,TRUE,Mostly True,Mostly True
"New Jersey lost 200,000 jobs and trailed U.S. under Christie.",TRUE,Mostly True,Mostly True
Thomas Eric Duncan entered the U.S. with an elevated temperature.,TRUE,FALSE,FALSE
The Afghanistan war is the longest U.S. war in a foreign land.,TRUE,TRUE,TRUE
Gas prices rose $2 since Obama took office.,TRUE,Half True,Half True
Webster sponsored marriage bill trapping women in abusive relationships.,TRUE,FALSE,FALSE
Judges get better benefits at lower cost than everyone else.,TRUE,Half True,Half True
Many U.S. casinos have gone bankrupt.,TRUE,TRUE,TRUE
Small businesses create 70 % of all U.S. jobs.,TRUE,Mostly True,Mostly True
Seniors on Medicare Advantage give up more under ACA reforms.,TRUE,Half True,Half True
"Florida arrests over 12 000 school kids, leading the nation.",TRUE,Mostly True,Mostly True
Texas economy would rank #10 globally if it were a country.,TRUE,Half True,TRUE
The U.S. has more oil rigs than the rest of the world combined.,TRUE,Mostly True,Mostly True
Payday lenders charge 1 000 %+ interest to poor borrowers.,TRUE,FALSE,FALSE
"The Social Security trust fund is sound until 2038, then 80 % payout.",TRUE,TRUE,TRUE
The only OH incumbent who broke his tax pledge lost re-election.,TRUE,Mostly True,Mostly True
Obama administration shut down Amber Alert during government shutdown.,TRUE,FALSE,FALSE
Republicans have 2 % of the Muslim vote.,TRUE,TRUE,TRUE
The U.S. has the highest percentage of population in prison.,TRUE,TRUE,TRUE
Giffords told Petraeus to stab enemies for climate change.,TRUE,FALSE,FALSE
41 GOP senators blocked wage hike but will get $2 800 COLA.,TRUE,Mostly True,Mostly True
José is the #1 male baby name in Texas.,TRUE,TRUE,TRUE
Marco Rubio voted against Syria strike authorization.,TRUE,TRUE,TRUE
"Under Cash for Clunkers, tow car home and get $4 500.",TRUE,FALSE,FALSE
Not one Republican recognizes climate change is real.,TRUE,Mostly True,FALSE
Most new income goes to the top 1 %.,TRUE,TRUE,TRUE
David Dewhurst promoted an income tax for Texas.,TRUE,FALSE,FALSE
Beaches at Point Pleasant Beach are private.,TRUE,TRUE,TRUE
20 % of Americans changed their mind on the Afghanistan war.,TRUE,Mostly True,Mostly True
"28,000 people killed along the U.S.–Mexico border in last five years.",TRUE,FALSE,FALSE
Ohio has one of the lowest unemployment rates and leads job growth.,TRUE,Half True,Half True
Obamacare denies millions access to affordable insurance.,TRUE,FALSE,FALSE
HB2 didn’t affect North Carolina’s economy at all.,TRUE,FALSE,FALSE
30 % of federal prisoners are illegal immigrants.,TRUE,FALSE,FALSE
Rick Scott said education is not a core function of the state.,TRUE,FALSE,FALSE
Family Research Council labeled a terrorist group by government.,TRUE,FALSE,FALSE
"Jim Weidner proposed to cut health care for 80,000 Oregon children.",TRUE,Mostly True,Mostly True
Tom Kean had the largest gubernatorial election margin in NJ history (1985).,TRUE,TRUE,TRUE
Obamacare is the biggest tax increase in American history.,TRUE,FALSE,FALSE
“You said Obama wasn’t ready to be commander-in-chief.”,TRUE,Mostly True,Mostly True
Median male worker hasn’t had a real raise in 30 years.,TRUE,Mostly True,Mostly True
Tom Barrett held the line on property taxes.,TRUE,Mostly True,Mostly True
Only House member with most funds from < $200 donations.,TRUE,FALSE,FALSE
Over 80 % of GA bills had bipartisan support.,TRUE,Mostly True,Mostly True
Josh Mandel lying: Ohio investment fund rating unchanged.,TRUE,Mostly True,Mostly True
"Rick Scott took $200 K from drilling family, now hiding.",TRUE,Half True,Half True
"On Ohio Turnpike lease, claim on fund use.",TRUE,Half True,Half True
Bush: From $200 B surplus to $1 T deficit.,TRUE,Mostly True,Mostly True
"Obama: 1,540 nominations confirmed, 4 defeated.",TRUE,TRUE,TRUE
Taxpayers funded Rauf’s Middle East trip.,TRUE,Mostly True,Mostly True
Milwaukee paid $370 K in lakefront patrol lawsuit.,TRUE,TRUE,TRUE
DOJ policy bars Comey from pre-election disclosures.,TRUE,Mostly True,Mostly True
Democratic presidents “have been considerably more effective at creating private-sector jobs.”,TRUE,Pants on Fire,Half True
Joe Biden “voted against the first Gulf War. He opposed the surge. He wanted to partition Iraq.”,TRUE,Half True,Half True
Rush Limbaugh “made it clear he’d rather see the country fail than Obama succeed.”,TRUE,Mostly False,Mostly False
Military recruiting went on at Harvard “every single day” while Kagan was dean.,TRUE,FALSE,FALSE
"Under Rick Perry’s plan, Texas cut school funding by 25 %.",TRUE,FALSE,FALSE
David Perdue wants to abolish Dept. of Education; Georgia would lose $1 B & millions in loans.,TRUE,Mostly False,Mostly False
The Paul Ryan budget would privatize Medicare.,TRUE,Half True,Half True
Students arrested at school twice as likely not to graduate; 4× if in court.,TRUE,FALSE,FALSE
The United States imprisons more people than any nation in the world.,TRUE,Mostly True,TRUE
Says Marco Rubio is “the one for an open border.”,TRUE,FALSE,FALSE
"Federal education spending up 375 % over 30 yrs, scores flat.",TRUE,Mostly False,Mostly False
Cuts to Medicare affect people who have already paid in – “We paid for it.”,TRUE,Mostly True,Mostly True
"David Alameel donated thousands to Republicans (Cornyn, Abbott).",TRUE,Half True,Half True
U.S. health care burns 18 % of GDP – nobody else close.,TRUE,Mostly True,Mostly True
Providence port is 200 miles closer to Europe than any other Eastern port.,TRUE,FALSE,FALSE
Photo ID required to buy Sudafed in Texas.,TRUE,Mostly False,TRUE
20 % of Portland’s Pearl District housing is affordable.,TRUE,Mostly True,Half True
Letting payroll tax holiday expire costs 900 K jobs in 2012.,TRUE,Pants on Fire,FALSE
Hillary Clinton backed NAFTA & China trade; PA lost thousands of jobs.,TRUE,Half True,Half True
Right-to-work laws don’t generate jobs or growth.,TRUE,Pants on Fire,Mostly True
Obama’s budget would raise debt to 80 % of GNP; historical avg = 40 %.,TRUE,Mostly True,Mostly True
"Hillary Clinton said VA scandal was over-exaggerated, satisfied with what’s going on.",TRUE,FALSE,FALSE
Health-care costs now lowest in 50 years.,TRUE,FALSE,FALSE
Obama called Christmas bomber an “isolated extremist.”,TRUE,TRUE,TRUE
"Sherrod Brown: Stimulus failed, now says didn’t cut taxes enough.",TRUE,FALSE,FALSE
1950s top tax rate was 90 %.,TRUE,TRUE,TRUE
Charleston shooter got gun because background check was too slow.,TRUE,TRUE,TRUE
65 % of Iraqis say it’s okay to shoot a U.S. soldier.,TRUE,Mostly False,Mostly False
12 judges threw out challenges to ACA as unconstitutional.,TRUE,Mostly True,Mostly True
Christie’s second tax cut mainly benefits the rich.,TRUE,Half True,Half True
Warren (Buffett) still does support me,TRUE,FALSE,FALSE
LeMieux voted for Obama’s jobs bill,TRUE,TRUE,TRUE
"7 voters, 900 votes in Guatemalan precinct",TRUE,FALSE,FALSE
230 000 off unemployment since taking office,TRUE,Mostly True,Mostly True
Sebelius decided fate of lung patient,TRUE,FALSE,FALSE
Ron Klein voted for amnesty,TRUE,Mostly False,Mostly False
Law enforcement gets ACA Data Hub info,TRUE,FALSE,FALSE
Houston crime lowest in 25 years under mayor,TRUE,TRUE,TRUE
Obama Columbia ID as foreign student,TRUE,Pants On Fire,Pants on Fire
"McCain: get second job, skip vacation",TRUE,Mostly False,Mostly False
"Clinton Foundation: male staff $218 K avg, female $153 K avg (2010-2014)",TRUE,Half True,Half True
"Since VAWA 1994, domestic-violence cases fell 67 %",TRUE,Mostly True,Mostly True
Federal law enforcement gave underwear bomber Miranda warning after 30 min,TRUE,Mostly False,Mostly False
“Legalizing illegal immigrants.” (fragment),TRUE,Half True,Mostly False
Nearly half of U.S. pregnancies are unintended,TRUE,TRUE,TRUE
“We are borrowing Saudi money for Saudi oil.”,TRUE,Mostly False,Mostly False
Homes for sale around Oswego Lake under $150 K open to anyone,TRUE,Mostly False,Mostly False
"Since president took office: -3.3 M private jobs, +590 K public",TRUE,Mostly False,Mostly False
Top 1 % pay over half of the country’s revenue,TRUE,Mostly False,Mostly False
Property tax savings over 4 years = $816,TRUE,Mostly False,Mostly False
Chris Christie has not increased taxes on anyone,TRUE,Mostly False,Mostly False
The U.S. does not have a system for growers/dairies to legally bring workforce into U.S.,TRUE,FALSE,FALSE
“He never said he’d keep education funding the same.”,TRUE,Mostly False,Mostly False
"Since 1978, college tuition has gone up ~4× inflation",TRUE,Mostly True,Mostly True
Sen. Rob Portman said “it would be irresponsible not to cut Medicare.”,TRUE,TRUE,Mostly False
Most/all DeKalb school construction projects came in on or under budget,TRUE,Mostly False,Mostly False
Palin supported Pat Buchanan for president in 2000,TRUE,FALSE,FALSE
Sen. Sherrod Brown voted to block energy production & raise energy taxes,TRUE,Mostly False,Mostly False
Sen. Jeanne Shaheen voted for a measure that would amount to a national energy tax,TRUE,Mostly False,Mostly False
DC had strict gun laws; violence skyrocketed after,TRUE,Half True,Half True
7 presidents before Obama tried to expand health care,TRUE,Mostly True,Mostly True
Glenn Grothman said women belong at home,TRUE,Mostly False,Mostly False
"Buffett Rule: $47 B = 611,000 jobs",TRUE,Half True,Half True
Group of baboons = Congress,TRUE,Pants On Fire,Pants on Fire
Predatory loans targeted Black/Latino communities,TRUE,FALSE,TRUE
Texas gained 1.4 M jobs since 2007; rest lost 400 K,TRUE,Mostly True,Mostly True
ACA made hiring harder due to cost,TRUE,Half True,Half True
CBO said Obamacare will kill 800 000 jobs,TRUE,Half True,Half True
Thompson voted against $250k damage caps etc.,TRUE,Mostly True,Mostly True
TX has more reserve money than other 49 states,TRUE,Mostly True,FALSE
On using the Strategic Petroleum Reserve,TRUE,Half True,Mostly False
Immigrants are more fertile,TRUE,Mostly True,Mostly True
Proposed education changes won’t cut teacher pay,TRUE,Mostly False,Mostly False
MA uninsured rate ≈ same since 2006 mandates,TRUE,FALSE,FALSE
Firearms homicides down 40 % since TX gun law,TRUE,Half True,Half True
90 % of women opt out after ultrasound,TRUE,FALSE,FALSE
“We spend less on defense today as % of GDP than at any time since Pearl Harbor.”,TRUE,Mostly True,Mostly True
“If you got rid of the income tax today you’d have about as much revenue as 10 years ago.”,TRUE,FALSE,FALSE
"“Scott Walker wants to ban common forms of birth control, including the pill.”",TRUE,Mostly True,Mostly True
“Jason Kander supports Obama’s plan to bring suspected terrorists to U.S. soil.”,TRUE,FALSE,FALSE
“Shelby County donated … 44 schools to Memphis.”,TRUE,Mostly False,Mostly False
“Top U.S. intelligence officials warned Congress ‘we’re about to be attacked from Syria/Iraq.’”,TRUE,Mostly False,Mostly False
“Have the suburbs been inundated with former residents of Atlanta housing projects? Absolutely not.”,TRUE,Mostly False,Mostly False
“In July 1996 Mitt Romney helped locate the missing teen daughter of a partner at Bain Capital.”,TRUE,Half True,Half True
“Blames Mike McIntyre and Nancy Pelosi for no COLA increase for Social Security.”,TRUE,Mostly False,Mostly False
“Government can access your bank account under the health care bill without you knowing.”,TRUE,FALSE,FALSE
There are mechanisms in place to shut down the Internet privately,TRUE,Mostly True,Mostly True
"Rep. Paul Ryan’s Medicare plan lines pockets of insurers, raises costs for seniors, and doesn’t reduce deficits",TRUE,Mostly True,Mostly True
“This year in Congress Connie Mack IV missed almost half his votes.”,TRUE,Mostly False,Mostly False
"One-third of kids drop out, can’t go to college or start career",TRUE,Mostly False,Mostly False
Not even Gen. Eisenhower saluted military personnel as president,TRUE,Mostly False,Mostly False
"If Wisconsin’s governor cuts perks as planned, public workers still better off than private sector",TRUE,Mostly False,Mostly False
"“You can’t get on an airplane, but more than 2,000 people on that list have been able to buy a gun.”",TRUE,Mostly False,Mostly False
“74 percent of Republicans support the Affordable Care Act.”,TRUE,FALSE,FALSE
"“For every $1 spent on after-school programs, we save $5–$6 in crime costs.”",TRUE,Mostly False,Mostly False
"“The federal government has $3 trillion in cash flow, so we can pay our bills and won’t default.”",TRUE,TRUE,FALSE
“Alex Sink failed Florida homeowners by using predatory lending practices.”,TRUE,Half True,Mostly False
“Over 40 % of small and mid-size banks that loan to small businesses were wiped out since Dodd-Frank.”,TRUE,Mostly False,Mostly False
“You can’t check out a library book without a photo ID.”,TRUE,Mostly False,Mostly False
“Starbucks removed ‘Christmas’ from their cups.”,TRUE,Mostly False,Mostly False
“Atmospheric conditions can push a football’s pressure down ~ 1.5 psi.”,TRUE,Mostly False,TRUE
"“Hillary Clinton supports unlimited abortion up to birth, including taxpayer funding.”",TRUE,FALSE,FALSE
"Under legislation cleared the Georgia House, legal refugees could get state scholarships to private schools",TRUE,TRUE,TRUE
We went from losing 3 million jobs under Bush (last 6 months) to adding ~600 000 private-sector jobs early in the year,TRUE,Half True,Mostly False
The STAR Ohio fund just received the highest possible credit rating,TRUE,TRUE,TRUE
Taxpayers are on the hook for less than a third of new Atlanta Falcons stadium; funds repaid from outsiders,TRUE,Mostly False,Mostly False
"In last 22 months, businesses created > 3 million jobs; last year highest since 2005",TRUE,Mostly False,Mostly False
"Every year, more than $40 million leave Missouri for Texas",TRUE,Mostly False,Mostly False
A college loan is the only loan you cannot refinance when rates go down,TRUE,Mostly False,Mostly False
The House has never passed a resolution of disapproval to condemn a member’s behavior,TRUE,Mostly False,Mostly False
We are younger than competitors entirely because of immigration,TRUE,FALSE,FALSE
International reports show U.S. near bottom among industrialized nations in K-12 achievement,TRUE,Mostly False,Mostly False
"Says 24 million can’t find full-time work, 50 million can’t see a doctor, 47 million need food aid, 15 million owe more than home value",TRUE,Mostly False,Mostly False
Clinton policy mistakes led in large part to mass incarceration,TRUE,FALSE,Mostly False
He raised average family income by 50 % as Arkansas governor,TRUE,Mostly False,Mostly False
They tried to give $400 million for a high-speed train that goes 39 mph,TRUE,FALSE,FALSE
CBO estimated fully extending Bush tax cuts would add 600k–1.4 M jobs in 2011 and 900k–2.7 M in 2012,TRUE,Mostly False,Mostly False
Reagan raised the debt ceiling 18 times; Bush did it 7 times,TRUE,Mostly True,Mostly True
Average American pays ~22 % federal tax; richest 400 pay ~16 %,TRUE,FALSE,FALSE
Most young Americans right now are not covered by health insurance,TRUE,FALSE,FALSE
"In 1952, corporate income tax was ~33 % of federal revenue; today < 9 %",TRUE,FALSE,Mostly True
